UncalAccel,elapsedRealtimeNanos,utcTimeMillis,UncalAccelXMps2,UncalAccelYMps2,UncalAccelZMps2,BiasXMps2,BiasYMps2,BiasZMps2
UAcc,165469255190750,1684642343473,0.2222334,0.7905288,9.447163,0.0,0.0,0.0
UAcc,165469258910594,1684642343477,0.57158554,0.73549384,10.217651,0.0,0.0,0.0
UAcc,165469260098354,1684642343478,0.81565344,0.73070824,11.007283,0.0,0.0,0.0
UAcc,165469262793875,1684642343481,0.8994022,0.7785647,11.610274,0.0,0.0,0.0
UAcc,165469265485489,1684642343484,0.9376874,0.6876374,11.92852,0.0,0.0,0.0
UAcc,165469267456479,1684642343486,0.85872424,0.5057829,11.430813,0.0,0.0,0.0
UAcc,165469270107521,1684642343488,0.97836536,0.25932217,10.729716,0.0,0.0,0.0
UAcc,165469272361844,1684642343491,1.1362916,0.07986046,10.267901,0.0,0.0,0.0
UAcc,165469275127521,1684642343493,1.2080764,0.027218357,9.999905,0.0,0.0,0.0
UAcc,165469277300646,1684642343495,1.1793624,0.16360925,9.763016,0.0,0.0,0.0
UAcc,165469279928614,1684642343498,1.1506486,0.17078772,9.523733,0.0,0.0,0.0
UAcc,165469282502104,1684642343501,1.0668998,0.11335997,9.162417,0.0,0.0,0.0
UAcc,165469284783719,1684642343503,0.83001035,0.22342981,9.24138,0.0,0.0,0.0
UAcc,165469287042104,1684642343505,0.4543372,0.369392,9.279665,0.0,0.0,0.0
UAcc,165469289690646,1684642343508,0.08105687,0.6134599,9.002098,0.0,0.0,0.0
UAcc,165469291888250,1684642343510,0.100199446,0.8072785,9.112167,0.0,0.0,0.0
UAcc,165469294397833,1684642343513,0.22462623,0.9269197,9.363414,0.0,0.0,0.0
UAcc,165469296960021,1684642343515,0.39690945,1.0968101,9.77498,0.0,0.0,0.0
UAcc,165469299973198,1684642343518,0.6098707,1.0345967,10.588539,0.0,0.0,0.0
UAcc,165469301803614,1684642343520,0.8970094,0.98913306,11.3351,0.0,0.0,0.0
UAcc,165469304916271,1684642343523,1.2032907,0.84795654,11.404491,0.0,0.0,0.0
UAcc,165469307124864,1684642343525,1.4449657,0.72352976,11.1269245,0.0,0.0,0.0
UAcc,165469309269708,1684642343527,1.590928,0.6086743,10.3181505,0.0,0.0,0.0
UAcc,165469311643719,1684642343530,1.6052849,0.41964126,9.650553,0.0,0.0,0.0
UAcc,165469314230437,1684642343532,1.4665012,0.15643078,9.550055,0.0,0.0,0.0
UAcc,165469316679604,1684642343535,1.1602199,0.0032901312,9.353843,0.0,0.0,0.0
UAcc,165469319283406,1684642343537,0.8491529,-0.15702899,9.186345,0.0,0.0,0.0
UAcc,165469321607364,1684642343540,0.6433702,-0.17856438,9.451948,0.0,0.0,0.0
UAcc,165469324176271,1684642343542,0.5739783,-0.15702899,9.755837,0.0,0.0,0.0
UAcc,165469326489760,1684642343545,0.48783672,-0.030209387,9.964012,0.0,0.0,0.0
UAcc,165469330002469,1684642343548,0.30358937,0.13250256,9.940084,0.0,0.0,0.0
UAcc,165469333156687,1684642343551,0.07627122,0.26171497,9.4280205,0.0,0.0,0.0
UAcc,165469335570750,1684642343554,0.061914288,0.4435695,9.279665,0.0,0.0,0.0
UAcc,165469336841687,1684642343555,0.14327025,0.5273183,9.502198,0.0,0.0,0.0
UAcc,165469338957573,1684642343557,0.35862428,0.87188476,10.00469,0.0,0.0,0.0
UAcc,165469342076844,1684642343560,0.7366903,1.0800604,10.791929,0.0,0.0,0.0
UAcc,165469343852000,1684642343562,1.1626127,1.1446666,11.359028,0.0,0.0,0.0
UAcc,165469347686792,1684642343566,1.4784653,1.1111671,11.354242,0.0,0.0,0.0
UAcc,165469352489396,1684642343571,1.5263218,0.9388838,11.09821,0.0,0.0,0.0
UAcc,165469352604135,1684642343571,1.3444673,0.747458,10.069297,0.0,0.0,0.0
UAcc,165469354936375,1684642343573,1.1458629,0.4651049,9.47827,0.0,0.0,0.0
UAcc,165469357748094,1684642343576,1.0956137,0.20668006,9.399306,0.0,0.0,0.0
UAcc,165469359513094,1684642343578,1.1458629,0.12771691,9.037991,0.0,0.0,0.0
UAcc,165469361189917,1684642343579,1.1530414,0.022432713,8.75803,0.0,0.0,0.0
UAcc,165469363767989,1684642343582,1.0692927,-0.044566322,8.911171,0.0,0.0,0.0
UAcc,165469366191375,1684642343584,0.8060821,0.12053844,9.238987,0.0,0.0,0.0
UAcc,165469369668823,1684642343588,0.4758726,0.18753748,9.662517,0.0,0.0,0.0
UAcc,165469371008875,1684642343589,0.12173485,0.34785658,9.310772,0.0,0.0,0.0
UAcc,165469374603875,1684642343593,-0.06969096,0.37657046,8.9159565,0.0,0.0,0.0
UAcc,165469377171531,1684642343595,0.033200413,0.54406804,9.08824,0.0,0.0,0.0
UAcc,165469383781219,1684642343602,0.22701904,0.69242305,9.485448,0.0,0.0,0.0
UAcc,165469383820281,1684642343602,0.39930227,0.6732805,10.109975,0.0,0.0,0.0
UAcc,165469384060125,1684642343602,0.83001035,0.56560344,10.878071,0.0,0.0,0.0
UAcc,165469385962000,1684642343604,1.1554343,0.48424748,11.370993,0.0,0.0,0.0
UAcc,165469391078146,1684642343609,1.4210376,0.45074797,11.294422,0.0,0.0,0.0
UAcc,165469391718927,1684642343610,1.5167505,0.43639103,10.937891,0.0,0.0,0.0
UAcc,165469393922833,1684642343612,1.5646069,0.50099725,10.236794,0.0,0.0,0.0
UAcc,165469395778979,1684642343614,1.428216,0.6302097,9.9807625,0.0,0.0,0.0
UAcc,165469399320281,1684642343617,1.3181462,0.6349953,9.913763,0.0,0.0,0.0
